,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Total Revenue,"437,575.00","260,485.00","350,519.00","380,438.00","298,262.00",--,--
Profit/Loss before Tax,"46,786.00","27,212.00","40,316.00","47,367.00","45,725.00",--,--
Profit/Loss for the period,"39,084.00","31,944.00","30,903.00","35,163.00","33,612.00",--,--
