,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Current Ratio (X),3.98,4.67,4.26,4.90,6.57,--,--
Quick Ratio (X),3.98,4.67,4.26,4.90,6.57,--,--
Total Debt/Equity (X),4.16,4.06,4.86,4.72,4.90,--,--
