,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
PBDIT Margin (%),92.07,90.52,87.67,94.63,90.28,--,--
PBT Margin (%),35.96,30.76,34.64,30.26,32.41,--,--
Net Profit Margin (%),28.65,24.97,30.25,22.22,26.93,--,--
Return on Capital Employed (%),9.11,9.70,12.74,11.18,10.81,--,--
Return on Assets (%),2.14,2.11,3.39,2.09,2.74,--,--
