,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Net Profit/Loss Before Extraordinary Items And Tax,-0.16,-0.04,0.05,0.06,0.09,--,--
Net CashFlow From Operating Activities,0.01,-0.04,1.53,-0.01,-0.03,--,--
Net Cash Used In Investing Activities,-0.01,-0.01,-1.53,0.00,0.00,--,--
Net Cash Used From Financing Activities,0.00,0.05,-0.01,0.01,0.00,--,--
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,--,--
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,--,--
Net Inc/Dec In Cash And Cash Equivalents,0.00,-0.01,0.00,0.00,-0.03,--,--
