,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Total Revenue,"6,145.30","9,171.10","9,805.30","8,348.90","7,195.60",--,--
Profit/Loss before Tax,852.30,176.60,682.40,462.47,330.14,--,--
Profit/Loss for the period,665.20,105.00,470.30,302.76,233.20,--,--
