,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Total Revenue,"2,625.54","3,213.07","3,095.24","2,908.99","2,587.07",--,--
Profit/Loss before Tax,"1,299.62","2,168.67","1,959.36","1,792.54","1,648.37",--,--
Profit/Loss for the period,977.52,"1,633.04","1,557.43","1,364.29","1,224.88",--,--
