,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Current Ratio (X),2.46,2.37,4.71,5.50,5.76,--,--
Quick Ratio (X),2.43,2.33,4.65,5.44,5.70,--,--
Total Debt/Equity (X),0.42,0.15,0.16,0.17,0.19,--,--
