,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
PBDIT Margin (%),79.78,101.31,89.55,86.14,91.73,--,--
PBT Margin (%),53.65,87.06,72.36,67.49,73.91,--,--
Net Profit Margin (%),40.36,65.56,57.52,51.37,54.92,--,--
Return on Capital Employed (%),8.14,13.76,13.70,13.49,12.39,--,--
Return on Assets (%),4.70,9.68,9.87,9.14,8.52,--,--
