,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Current Ratio (X),0.83,0.64,1.87,2.16,2.18,--,--
Quick Ratio (X),0.31,0.39,1.73,1.99,2.18,--,--
Total Debt/Equity (X),11.37,3.09,1.13,1.62,2.41,--,--
