,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
PBDIT Margin (%),5.72,22.72,23.35,80.91,5.12,--,--
PBT Margin (%),-1.21,17.10,6.01,-12.31,-3.03,--,--
Net Profit Margin (%),-0.54,14.71,10.76,-10.99,-2.68,--,--
Return on Capital Employed (%),3.11,12.02,8.43,6.38,2.12,--,--
Return on Assets (%),-0.20,2.54,2.09,-0.64,-0.86,--,--
