,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Total Revenue,"11,161.00","3,006.00","1,579.80",620.77,"1,785.48",--,--
Profit/Loss before Tax,-130.00,423.00,74.97,-39.16,-52.13,--,--
Profit/Loss for the period,-58.00,364.00,134.26,-34.98,-46.22,--,--
