,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Total Revenue,"47,990.20","48,175.86","58,763.34","43,378.01","40,707.49",--,--
Profit/Loss before Tax,"17,246.31","14,815.09","20,350.92","13,118.77","13,189.64",--,--
Profit/Loss for the period,"13,742.18","12,027.30","17,769.65","9,632.46","10,959.34",--,--
