,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
PBDIT Margin (%),43.18,44.35,40.63,40.05,39.77,--,--
PBT Margin (%),44.29,40.36,29.42,27.72,31.43,--,--
Net Profit Margin (%),35.48,31.77,22.44,19.52,21.95,--,--
Return on Capital Employed (%),29.63,28.04,23.97,27.14,37.08,--,--
Return on Assets (%),9.78,8.23,5.98,5.62,8.12,--,--
