,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Current Ratio (X),1.61,1.62,1.70,1.62,1.46,--,--
Quick Ratio (X),1.61,1.58,1.65,1.62,1.38,--,--
Total Debt/Equity (X),0.38,0.31,0.28,0.90,0.97,--,--
