,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Total Revenue,152.69,109.84,79.26,79.76,94.27,--,--
Profit/Loss before Tax,67.50,44.15,23.29,22.05,28.69,--,--
Profit/Loss for the period,54.07,34.75,17.76,15.53,20.03,--,--
