,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Net Profit/Loss Before Extraordinary Items And Tax,67.50,44.15,23.29,22.05,28.69,--,--
Net CashFlow From Operating Activities,-20.87,-31.01,116.93,7.82,-38.12,--,--
Net Cash Used In Investing Activities,8.71,-4.32,-2.25,-3.81,10.70,--,--
Net Cash Used From Financing Activities,21.74,8.85,-71.50,-3.88,81.24,--,--
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,--,--
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,--,--
Net Inc/Dec In Cash And Cash Equivalents,9.59,-26.48,43.17,0.13,53.82,--,--
