,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
PBDIT Margin (%),24.04,10.54,14.56,12.35,11.72,--,--
PBT Margin (%),13.97,1.92,6.96,5.54,4.59,--,--
Net Profit Margin (%),10.90,1.14,4.80,3.63,3.24,--,--
Return on Capital Employed (%),11.96,6.45,11.50,10.74,8.77,--,--
Return on Assets (%),6.39,1.07,4.63,3.59,2.98,--,--
