,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Current Ratio (X),2.91,2.00,1.19,1.23,1.51,--,--
Quick Ratio (X),2.78,1.86,0.83,0.88,1.10,--,--
Total Debt/Equity (X),0.33,0.38,0.74,0.79,0.78,--,--
