,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Current Ratio (X),1.11,1.04,0.50,0.76,0.65,--,--
Quick Ratio (X),0.88,0.86,0.39,0.54,0.44,--,--
Total Debt/Equity (X),0.41,0.41,0.65,0.39,0.31,--,--
